hour,temp,humidity,windspeed,Rental count
13,11.48,48,16.9979,236
13,17.22,50,12.998,213
18,13.12,45,16.9979,295
18,27.88,65,19.9995,339
8,10.66,65,8.9981,73
16,13.94,61,11.0014,143
7,26.24,89,7.0015,133
4,12.3,70,0,3
6,15.58,66,11.0014,10
11,30.34,42,8.9981,111
4,29.52,74,8.9981,11
14,29.52,42,6.0032,263
16,23.78,49,19.0012,435
22,10.66,70,0,71
19,18.04,51,22.0028,168
18,18.86,44,8.9981,473
14,36.9,42,31.0009,526
14,18.04,62,32.9975,132
13,13.94,46,0,182
17,36.9,37,16.9979,409
1,20.5,59,7.0015,23
9,5.74,50,22.0028,139
11,23.78,46,0,272
2,28.7,58,12.998,69
23,31.98,59,12.998,161
3,13.94,81,8.9981,25
3,20.5,77,12.998,5
14,18.86,15,43.9989,196
15,17.22,54,19.0012,407
14,32.8,41,15.0013,241
7,18.86,72,15.0013,44
19,15.58,43,19.9995,374
0,13.94,49,22.0028,55
22,5.74,46,19.9995,15
17,32.8,36,11.0014,818
16,13.94,29,27.9993,145
0,20.5,88,8.9981,102
19,28.7,39,8.9981,432
21,20.5,77,7.0015,177
19,13.94,49,22.0028,136
20,20.5,51,16.9979,260
14,21.32,48,11.0014,179
9,13.12,61,22.0028,231
20,15.58,29,31.0009,245
13,24.6,64,0,565
12,12.3,39,32.9975,161
21,9.84,93,8.9981,78
12,12.3,33,22.0028,329
17,20.5,29,19.0012,729
4,16.4,82,6.0032,1
15,13.12,21,11.0014,74
17,18.86,67,19.9995,309
14,25.42,69,6.0032,240
20,12.3,61,6.0032,127
22,16.4,40,30.0026,118
8,19.68,77,16.9979,442
17,30.34,42,16.9979,587
12,23.78,78,7.0015,168
21,23.78,83,0,177
14,36.9,37,16.9979,476
20,20.5,72,8.9981,414
10,27.06,83,12.998,175
22,26.24,78,8.9981,144
19,21.32,83,12.998,270
3,17.22,82,19.9995,11
3,13.94,61,8.9981,15
5,9.02,69,12.998,2
16,17.22,32,19.9995,307
15,29.52,42,7.0015,384
4,28.7,74,0,7
17,22.96,35,19.9995,600
17,35.26,47,19.9995,486
3,27.88,74,19.9995,16
15,13.12,66,15.0013,305
21,27.06,50,8.9981,261
9,28.7,74,26.0027,348
5,18.86,82,12.998,24
19,13.94,71,19.0012,152
3,10.66,60,12.998,26
17,13.94,76,7.0015,320
16,9.02,87,12.998,61
12,32.8,26,0,263
16,32.8,55,19.0012,479
0,30.34,79,8.9981,47
9,20.5,77,19.0012,212
2,22.96,56,0,19
23,30.34,66,7.0015,72
13,18.04,100,12.998,33
15,18.86,33,0,292
8,25.42,88,15.0013,613
13,5.74,43,16.9979,91
12,11.48,41,0,235
21,28.7,79,7.0015,250
16,17.22,28,22.0028,134
5,16.4,82,6.0032,10
15,8.2,34,19.0012,64
0,18.86,77,31.0009,31
5,18.86,72,6.0032,44
12,34.44,56,6.0032,153
20,29.52,42,15.0013,287
15,25.42,69,30.0026,210
2,25.42,73,7.0015,20
13,30.34,70,8.9981,389
10,20.5,68,19.0012,249
22,32.8,55,12.998,288
8,17.22,88,7.0015,96
17,19.68,31,22.0028,278
3,18.86,59,27.9993,25
5,21.32,83,0,57
20,26.24,83,15.0013,84
1,18.86,47,8.9981,19
6,9.02,93,8.9981,9
7,22.14,100,8.9981,81
20,24.6,78,16.9979,309
10,22.14,88,23.9994,125
12,18.86,23,26.0027,590
10,21.32,68,6.0032,174
0,10.66,100,11.0014,6
2,22.14,94,16.9979,2
0,8.2,64,0,6
19,18.04,67,6.0032,252
17,18.86,28,19.0012,255
1,23.78,83,7.0015,10
21,24.6,46,15.0013,206
15,32.8,33,30.0026,275
9,30.34,62,8.9981,230
16,18.04,44,22.0028,404
3,13.94,76,8.9981,23
20,13.12,87,12.998,91
23,16.4,50,11.0014,52
7,18.04,88,16.9979,508
12,9.02,35,19.9995,61
12,14.76,23,0,99
19,31.98,49,11.0014,375
2,30.34,51,0,18
7,12.3,93,11.0014,21
9,14.76,77,0,273
18,21.32,72,8.9981,551
2,27.06,89,0,84
5,15.58,87,0,23
12,8.2,47,39.0007,55
0,31.98,66,8.9981,150
13,29.52,37,0,365
3,25.42,73,6.0032,4
16,12.3,56,15.0013,296
19,5.74,28,7.0015,112
11,25.42,69,15.0013,252
23,20.5,63,0,136
3,22.14,68,22.0028,4
1,10.66,60,19.0012,10
11,14.76,46,7.0015,238
13,18.86,100,12.998,71
5,25.42,88,15.0013,10
18,14.76,57,12.998,573
16,27.06,39,0,289
5,9.84,75,12.998,11
6,21.32,68,6.0032,139
16,26.24,69,16.9979,453
11,22.14,88,11.0014,164
4,24.6,83,8.9981,5
8,18.04,62,0,835
13,27.88,34,22.0028,139
10,35.26,44,19.9995,366
17,25.42,38,43.9989,597
18,35.26,41,12.998,777
8,27.06,78,12.998,681
23,10.66,65,15.0013,28
10,32.8,55,23.9994,117
7,28.7,84,11.0014,482
9,13.12,81,22.0028,110
3,6.56,48,26.0027,25
12,14.76,32,31.0009,152
11,21.32,77,8.9981,585
2,8.2,27,31.0009,3
12,16.4,37,19.9995,410
0,27.06,94,12.998,34
23,21.32,77,12.998,102
9,14.76,57,23.9994,287
19,33.62,28,19.0012,375
8,15.58,17,39.0007,45
18,11.48,45,11.0014,565
21,12.3,93,16.9979,54
22,25.42,94,11.0014,29
19,26.24,65,8.9981,674
14,16.4,40,12.998,509
11,30.34,66,11.0014,499
15,24.6,38,26.0027,260
5,24.6,78,0,31
5,9.84,60,11.0014,7
17,26.24,78,7.0015,343
5,9.02,93,7.0015,3
6,14.76,93,8.9981,108
16,34.44,53,19.9995,414
21,22.14,88,0,151
13,32.8,52,12.998,253
23,24.6,53,19.9995,183
20,13.94,66,6.0032,172
16,13.94,34,6.0032,102
13,27.88,36,12.998,704
17,30.34,51,0,390
4,22.14,52,0,12
12,18.86,55,11.0014,189
14,8.2,32,23.9994,188
0,22.14,56,12.998,124
0,29.52,74,12.998,67
8,28.7,58,30.0026,441
23,13.94,57,11.0014,120
17,13.94,46,15.0013,638
8,21.32,55,15.0013,374
12,31.16,55,8.9981,161
9,21.32,83,11.0014,191
13,8.2,40,19.0012,54
21,5.74,46,27.9993,20
15,30.34,55,19.9995,182
23,28.7,79,7.0015,55
21,12.3,52,11.0014,139
3,24.6,83,12.998,7
2,12.3,87,0,74
16,29.52,70,12.998,374
18,25.42,38,19.9995,524
13,33.62,24,19.0012,585
14,23.78,60,19.0012,444
18,18.86,88,19.0012,564
4,12.3,65,11.0014,11
13,31.16,55,16.9979,255
22,26.24,89,11.0014,217
0,30.34,66,6.0032,66
4,13.94,71,8.9981,2
23,10.66,48,22.0028,56
12,25.42,57,0,615
2,16.4,62,12.998,14
14,16.4,43,12.998,299
0,33.62,56,8.9981,147
17,31.16,58,35.0008,527
3,14.76,71,8.9981,2
18,29.52,39,15.0013,693
0,21.32,94,7.0015,38
3,17.22,26,8.9981,26
12,14.76,81,8.9981,202
19,27.06,39,15.0013,494
7,7.38,43,12.998,88
9,23.78,68,0,337
4,27.88,83,12.998,5
3,22.14,39,22.0028,8
0,24.6,94,16.9979,13
5,5.74,50,19.9995,3
16,22.96,37,19.0012,401
11,25.42,83,0,84
3,30.34,58,12.998,4
2,10.66,93,12.998,7
13,24.6,60,26.0027,233
6,12.3,61,12.998,28
4,8.2,80,8.9981,7
4,18.04,67,7.0015,9
13,27.88,57,11.0014,284
0,8.2,64,12.998,17
21,14.76,62,8.9981,184
10,21.32,77,15.0013,143
9,12.3,61,22.0028,264
4,11.48,81,6.0032,8
14,25.42,50,19.9995,285
5,10.66,81,12.998,4
23,27.88,47,6.0032,140
21,10.66,37,26.0027,120
7,9.02,60,7.0015,240
9,18.04,88,6.0032,321
17,27.06,54,7.0015,459
0,8.2,75,6.0032,17
3,8.2,80,39.0007,1
6,18.04,72,6.0032,50
6,22.14,64,27.9993,105
12,32.8,55,32.9975,694
15,32.8,33,16.9979,260
6,13.94,76,7.0015,59
15,13.12,45,8.9981,117
9,24.6,60,6.0032,367
21,23.78,40,7.0015,299
0,21.32,83,11.0014,52
5,11.48,81,8.9981,12
19,12.3,52,15.0013,69
10,25.42,65,12.998,202
9,25.42,46,12.998,193
15,17.22,38,19.9995,136
5,21.32,72,19.0012,20
20,8.2,40,12.998,123
14,13.12,39,19.9995,144
9,31.16,48,15.0013,180
23,32.8,55,11.0014,131
10,20.5,39,19.0012,128
11,15.58,66,16.9979,292
20,13.94,87,43.0006,26
7,13.94,61,15.0013,296
17,16.4,50,26.0027,562
21,26.24,89,0,104
1,18.86,94,7.0015,12
13,14.76,40,16.9979,173
7,16.4,100,8.9981,86
15,20.5,31,7.0015,269
19,10.66,87,8.9981,80
12,35.26,44,19.9995,163
11,13.94,66,11.0014,160
12,10.66,48,22.0028,158
10,31.16,58,12.998,198
19,25.42,73,11.0014,500
10,9.02,69,7.0015,105
2,14.76,40,11.0014,80
8,16.4,30,12.998,84
4,13.94,49,16.9979,5
3,27.06,74,6.0032,25
0,27.88,79,11.0014,47
7,9.84,65,15.0013,226
2,11.48,81,7.0015,73
9,16.4,71,8.9981,86
3,27.06,89,0,1
11,30.34,48,15.0013,396
2,13.94,87,19.9995,30
1,9.84,52,11.0014,61
1,11.48,61,6.0032,13
21,20.5,72,8.9981,166
8,22.14,83,12.998,474
16,21.32,45,0,295
11,25.42,94,0,72
16,37.72,35,16.9979,389
12,8.2,40,19.0012,52
18,13.94,46,15.0013,542
5,9.84,70,11.0014,11
11,18.04,44,16.9979,90
17,30.34,28,7.0015,638
1,8.2,51,6.0032,5
5,28.7,89,12.998,5
0,31.16,58,15.0013,43
13,14.76,63,27.9993,56
18,7.38,47,19.9995,170
1,14.76,62,8.9981,38
18,31.98,62,7.0015,253
19,29.52,84,15.0013,312
11,6.56,47,19.0012,30
2,10.66,81,0,50
15,24.6,31,6.0032,142
22,25.42,35,0,171
19,13.12,70,0,128
1,20.5,63,0,10
1,13.94,49,22.0028,89
17,29.52,70,15.0013,371
22,20.5,51,0,158
12,18.86,41,30.0026,259
13,22.14,88,15.0013,101
22,29.52,79,0,219
19,32.8,49,22.0028,303
21,27.06,57,12.998,177
1,26.24,73,15.0013,16
10,27.06,61,11.0014,166
22,16.4,47,12.998,149
9,11.48,52,19.9995,142
22,26.24,47,8.9981,232
10,30.34,70,26.0027,422
1,22.96,78,16.9979,14
12,21.32,100,6.0032,279
12,34.44,53,19.0012,148
4,25.42,83,7.0015,10
13,20.5,34,31.0009,301
12,18.04,44,19.0012,366
2,25.42,100,16.9979,8
3,27.06,65,8.9981,27
20,24.6,78,8.9981,372
2,14.76,81,11.0014,4
6,4.1,49,26.0027,2
10,22.96,49,6.0032,411
8,10.66,70,12.998,101
2,17.22,88,0,5
1,23.78,64,26.0027,29
9,9.02,47,26.0027,214
12,32.8,59,12.998,165
22,14.76,57,11.0014,202
8,13.94,76,12.998,64
16,31.98,40,19.0012,413
5,15.58,76,12.998,32
7,18.86,77,7.0015,301
0,23.78,53,0,49
0,16.4,58,12.998,73
14,24.6,35,11.0014,378
2,27.06,74,6.0032,13
9,19.68,67,22.0028,233
14,32.8,55,7.0015,632
21,15.58,82,7.0015,139
12,18.04,41,22.0028,262
19,33.62,52,23.9994,397
13,24.6,35,19.9995,438
15,10.66,33,39.0007,138
4,27.06,94,15.0013,11
12,19.68,48,0,606
17,24.6,73,16.9979,729
13,9.02,44,23.9994,49
21,27.06,83,11.0014,167
2,18.86,44,11.0014,31
10,27.88,61,8.9981,138
15,17.22,32,19.0012,171
15,29.52,48,7.0015,274
4,26.24,73,11.0014,9
2,26.24,69,7.0015,9
22,10.66,52,16.9979,84
16,26.24,69,16.9979,440
23,27.88,51,0,151
1,14.76,81,6.0032,6
21,22.14,68,6.0032,147
16,20.5,27,19.9995,467
0,21.32,42,11.0014,136
16,27.06,50,12.998,357
3,18.04,88,15.0013,5
3,10.66,48,16.9979,15
14,26.24,53,16.9979,243
22,23.78,46,8.9981,228
12,18.86,59,32.9975,157
21,13.12,61,16.9979,77
17,12.3,24,0,211
14,24.6,60,12.998,188
4,22.96,64,19.9995,4
11,17.22,41,27.9993,221
15,20.5,87,11.0014,236
11,18.04,44,19.0012,172
19,27.88,74,16.9979,558
23,28.7,84,16.9979,70
14,27.06,39,8.9981,635
23,9.84,93,26.0027,16
13,16.4,43,19.0012,384
15,26.24,47,11.0014,178
5,20.5,59,19.0012,49
11,28.7,42,16.9979,264
19,6.56,93,0,51
21,12.3,52,19.9995,87
19,14.76,53,23.9994,148
20,14.76,46,11.0014,211
22,28.7,74,15.0013,299
11,31.16,62,8.9981,296
17,23.78,64,8.9981,568
15,9.02,87,11.0014,35
2,16.4,82,19.0012,32
17,31.16,62,22.0028,555
4,12.3,45,19.0012,10
0,31.16,66,0,149
23,14.76,93,6.0032,122
17,22.14,45,11.0014,493
19,24.6,43,15.0013,434
8,27.06,83,11.0014,455
3,20.5,68,0,48
7,9.84,87,8.9981,28
5,28.7,84,12.998,38
10,12.3,81,7.0015,70
11,10.66,87,6.0032,99
4,22.14,68,8.9981,8
20,22.14,60,8.9981,291
2,17.22,67,8.9981,9
1,18.86,77,22.0028,10
3,5.74,50,22.0028,3
8,32.8,55,0,661
20,32.8,43,12.998,292
7,25.42,94,7.0015,179
18,13.12,53,11.0014,567
9,25.42,83,12.998,362
10,25.42,69,19.0012,539
3,20.5,82,12.998,5
15,26.24,38,46.0022,185
11,26.24,94,15.0013,98
10,18.04,41,23.9994,204
1,22.96,83,7.0015,76
12,26.24,73,12.998,264
3,22.96,88,7.0015,6
0,27.06,65,7.0015,47
21,17.22,35,8.9981,187
11,28.7,65,0,402
21,30.34,58,11.0014,238
13,24.6,69,12.998,265
15,21.32,42,16.9979,125
10,26.24,47,11.0014,135
14,22.96,21,15.0013,311
10,18.04,38,27.9993,140
6,11.48,93,0,99
19,31.98,62,0,392
1,10.66,56,0,6
5,19.68,67,19.0012,21
23,22.96,73,12.998,68
23,27.88,61,15.0013,168
20,19.68,59,22.0028,139
12,31.98,43,0,292
23,28.7,79,8.9981,55
20,26.24,73,8.9981,263
1,28.7,79,6.0032,14
22,10.66,41,16.9979,62
6,9.84,93,15.0013,28
20,14.76,57,7.0015,163
14,35.26,50,12.998,152
19,13.94,53,6.0032,319
2,27.06,69,0,19
22,26.24,65,15.0013,242
