AI Adoption Rate (%),AI-Generated Content Volume (TBs per year),Revenue Increase Due to AI (%),Human-AI Collaboration Rate (%),Consumer Trust in AI (%)
44.29,33.09,46.12,74.79,40.77
34.75,66.74,52.46,26.17,35.67
81.06,96.13,45.6,39.66,54.47
85.24,93.76,78.24,29.45,51.84
78.95,45.62,1.05,21.7,41.77
66.95,47.72,27.58,64.42,68.14
68.23,6.14,53.13,53.16,71.6
91.27,33.87,56.26,59.93,46.98
17.02,87.77,52.45,64.72,60.55
25.5,18.74,40.81,64.86,51.07
11.94,91.59,73.93,57.55,65.79
39.04,78.44,28.93,77.95,39.63
71,77.53,12.56,31.57,56.93
25.62,86.47,71.1,36.22,63.66
49.71,50.19,12.41,40.18,57.05
67.94,96.81,51.06,23.04,33.16
43.85,52.54,73.68,74.08,56.79
64.87,49.04,38.16,82.41,78.14
62.98,24.98,27.51,53.78,55.93
62.94,7.49,71.69,63.54,44.26
94.76,17.58,71.63,67.44,71.96
44.1,87.85,33.44,72.72,76.74
12.86,5.08,20.65,75.67,38.35
49.97,5.59,17.55,34.97,78.71
88.41,5.34,13.78,36.24,58.85
79.59,20.37,44.06,83.18,45.04
26.12,73.78,22.63,65.41,44.56
87.95,12.55,3.82,25.44,34.37
42.53,44.38,49.69,47.11,55.15
32.74,25.34,33.42,73.55,70.72
67.15,65.71,19.32,40.95,48.1
28.48,34.49,23.5,35.14,57.31
44.97,43.93,18.56,24.81,54.38
71.57,72.4,49.83,32.73,42.97
16.79,8.5,65.47,23.38,59.92
74.81,54.67,52.34,84.8,42.06
77.52,3.4,67.9,66.23,31.46
27.61,14.49,18.49,42.88,30.12
44.61,26.16,58.53,75.29,32.96
81.18,3.56,68.33,76.84,41.73
41.28,22.14,6.67,40.15,61.31
48.54,89.58,66.31,60.28,30.52
62.64,61.24,43.72,20.21,79.68
57.35,94.06,17.2,20.37,88.69
26.63,95.37,1.75,72.35,53.62
25.98,52.9,11.74,47.03,55.83
20.47,1.61,31.04,52.49,35.8
83.4,66.33,34.95,47.21,47.81
61.49,17.53,20.74,47.72,87.9
89.96,80.3,74.04,51.67,78.51
33.23,75.51,63.58,77.34,48.51
30.94,82.97,60.61,56.01,85.1
91.41,67.49,71.61,54.73,53.96
93,42.7,55.65,51,47.34
93.16,50.91,35.31,78.29,65.04
26.27,38.13,3.37,65.36,54.57
88.75,30.56,60.23,46.53,70.19
50.27,17.89,30.02,20.76,32.28
76.22,75.93,10.63,61.88,65.57
28.27,3.98,6.12,49.89,54.77
41.32,1.52,17.23,36.29,70.43
38.42,40.78,58.05,81.05,80.19
20.25,99.06,6.61,80.08,80.65
68.39,34.74,68,35.05,88.43
68.21,68.4,57.89,61.89,78.14
44.99,7.7,52.91,80.25,32.02
50.34,50.7,0.58,68.07,37.36
45.27,82.47,57.15,57.03,42.57
66.93,6.59,0.85,71.52,43.34
78.21,33.34,76.76,87.8,71.22
83.2,4.85,22.58,82.54,76.14
12.97,76.22,75.91,27.28,64
70.7,94.67,44.7,78.66,64.86
78.6,19.64,8.47,64.18,59.15
43.55,14.89,41.09,37.81,86.44
82.82,75.53,1.44,40.39,36.48
75.42,24.03,42.27,54.72,74.85
13.9,51.2,0.57,65.4,68.69
82.72,17.97,50.08,24.06,77.96
63.04,82.49,50.72,81.71,33.36
72.88,1.55,76.86,55.78,57.09
26.57,38.87,27.7,77.03,76.47
80.83,67.55,51.87,74.39,33.56
73.22,94.47,28.86,57.06,30.17
45.3,42.81,24.96,78.13,66.28
89.74,15.64,3.8,33.44,42.99
55.3,67.76,11.15,48.72,58.79
87.73,44.74,78.5,39.34,78.54
71.9,21.66,28.02,26.7,40.8
88.38,12.43,52.51,59.75,54.27
67.18,7.92,52.54,50.3,73.15
28.6,49.95,32.2,22.45,51.58
46.72,85.74,75.69,38.2,83.61
35.91,2.25,71.07,68.44,85.92
76.22,56.66,38.03,33.05,74.86
27.95,71.37,0.93,53.7,87.06
33.2,4.31,66.25,81.74,49
38.21,1.04,8.52,24.88,39.31
43.4,75.92,33.23,42.07,87.28
67.97,38.18,17.6,20.43,46.5
92.96,44.86,25.17,68.19,76.16
18.91,57.4,49.28,82.93,68.44
70.59,64.57,69.35,55.02,89.88
83.74,19.68,1.75,64.79,70.63
52.43,90.69,9.78,67.03,63.92
32,44.26,40.67,32.98,60.99
43.12,42.47,26.12,38.6,65.57
27.02,8.68,8.51,68.6,84.37
29.49,33.14,4.19,46.4,53.68
57.15,92.02,73.89,81.93,60.67
35.83,94.62,65.36,82.68,38.02
27.5,23.67,56.52,60.77,36.75
49.72,73.6,66.78,73.26,89.07
79.64,87.25,54.75,82.48,49.54
53.76,94.77,31.27,32.23,51.34
91.67,90.28,26.79,25.29,38.75
27.53,95.29,13.91,52.29,70.43
67.08,80.64,15.7,59.71,53.86
77.96,69.51,41.93,56.36,69
74.66,26.14,6.35,58.99,83.38
82.25,6.81,76.88,57,33.48
85.09,40.12,50.96,43.18,61.28
82.41,77.29,17.78,33.19,81.88
17.05,52.86,70.85,79.54,83.17
14.31,35.59,36.05,76.71,76.46
73.89,16.63,68.91,60.15,34.4
56.81,56.52,69.17,51.21,54.41
83.85,7,59.43,66.73,43.37
43.22,52.8,51.15,51.23,60.89
52.86,10.91,57.82,45.95,79.04
46.79,80.92,49.09,37.15,33.05
57.44,74.71,47.8,82.92,49.17
11.99,28,5.14,66.59,41.71
70.04,66.6,23.17,58.46,41.08
64.43,41.41,19.26,88.29,45.13
20.23,68.16,38.34,24.65,58.54
33.91,86.4,59.2,32.1,76.05
93.49,16.96,26.27,83.71,70.17
45.37,48.59,40.66,80.62,74.96
86.58,20.96,2.49,84.48,60.05
19.03,46.6,47.63,33.97,78.85
34.28,76.54,68.89,61.67,57.88
67.49,35.37,49.79,53.15,35.56
76.35,78.99,0.73,70.78,70.39
46.44,26.16,64.98,52.91,68.32
78.57,7.24,47.61,43.84,34.52
73.11,98.77,67.17,87.65,31.54
64.03,5.21,53.59,23.62,37.89
21.02,20.5,79.55,53.09,44.82
14.76,58.35,76.52,36.03,81.84
15.77,23.95,43.32,36.55,60.71
20.14,3.7,52.01,37.02,81.94
15.2,30.75,16.62,31.27,61.68
69.67,47.75,55.74,74.99,68.67
70.48,19.97,15.07,64.12,48.13
80.75,60.93,14.67,61.33,83.72
31.96,49.43,56.09,79.12,69.59
82.54,71.06,28.93,39.83,33.51
93.72,27.55,31.86,75.36,73.23
21.63,36.58,61.25,53,57.27
23.27,38.75,67.88,78.13,72.79
63.03,26.18,57.91,63.9,83.66
54.67,64.1,27.12,24.78,75.6
60.69,56.38,28.55,39.5,30.81
44.17,82.35,49.74,74.11,81.95
34.27,4.19,23.4,24.04,87.03
35.22,84.15,73.08,65.49,48.02
20.95,26.53,2.28,47.14,82.45
72.59,51.37,3.84,72.92,76.92
68.24,36.33,24.34,40.04,45.16
55.19,41.06,51.9,49.04,50.12
18.43,7.44,12.96,54.31,73.34
88.16,14.83,26.45,47.53,59.28
29.45,92.91,14.73,68.45,73.82
11.14,28.47,50.61,78.2,81.93
46.62,72.37,31.66,35.21,46.02
43.32,18.93,61.74,33.94,69.97
59.85,61,77.48,28.32,70.17
88.23,20.18,10.99,85.27,32.96
87.79,40.86,74.04,70.58,60.03
21.57,77.01,13.61,37.65,33.61
45.09,11.8,0.14,39.09,50.81
50.97,16.05,62.71,68.18,60.09
52.18,5.84,60.81,42.56,43.6
40.8,42.29,62.27,21.16,77.31
77.33,51.28,23.16,84.93,85.01
80.04,36.49,76.74,69.01,48.27
39.48,63.35,55.14,20.82,42.94
30.18,97.54,14.76,49.67,89.76
36.52,4.2,71.01,21.92,84.9
48.39,57.31,17.95,61.69,66.25
39.94,57.79,44.31,38.14,46.49
78.43,84.82,4.72,33.28,64.49
81.86,35.53,7.11,63.48,31.33
29.61,59.56,46.92,57.21,31.7
89.44,52.98,12.14,30.6,77.21
70.11,28.26,57.86,58.71,78.74
65.77,49.83,79.44,43.73,81.58
45.35,20.49,50.5,41.73,47.42
10.53,20.97,34.27,45.67,58.52
